category,code
!!!,0
"""Weird Al"" Yankovic",1
$NOT,2
$tupid Young,3
$uicideBoy$,4
(Hed) P.E.,5
(Sandy) Alex G,6
03 Greedo,7
04 Limited Sazabys,8
070 Shake,9
10 Years,10
"10,000 Maniacs",11
1000mods,12
10cc,13
11 Acorn Lane,14
112,15
116,16
11:11,17
12 Stones,18
12th Planet,19
164,20
1788-L,21
1K Phew,22
1takejay,23
2 Chainz,24
2 LIVE CREW,25
21 Savage,26
22Gz,27
24hrs,28
27CLUB,29
2Baba,30
2Pac,31
2nd Exit,32
3 Doors Down,33
3-11 Porter,34
311,35
38 Special,36
3LAU,37
3OH!3,38
3rd Force,39
40mP,40
4B,41
50 Cent,42
6 Dogs,43
641,44
65daysofstatic,45
6LACK,46
6ix9ine,47
6u5,48
7Horse,49
7eventh Time Down,50
808 State,51
88GLAM,52
916frosty,53
9th Wonder,54
? & The Mysterians,55
A Boogie Wit da Hoodie,56
A Flock Of Seagulls,57
A Forest Mighty Black,58
A Great Big World,59
A Perfect Circle,60
A R I Z O N A,61
A Rocket To The Moon,62
A Thousand Horses,63
A Tribe Called Quest,64
A$AP ANT,65
A$AP Ferg,66
A$AP Mob,67
A$AP Rocky,68
A$AP Twelvyy,69
A-Trak,70
A.A. Bondy,71
A.CHAL,72
A.R. Rahman,73
AAA,74
ABRA,75
AC Slater,76
AC/DC,77
AFI,78
AFK,79
AFX,80
AI,81
AIGEL,82
AIMP Nashville,83
AJ Tracey,84
AJR,85
AK,86
AK420,87
AKB48,88
ALLBLACK,89
ARMNHMR,90
ASCA,91
ASIAN KUNG-FU GENERATION,92
ATLiens,93
AWOLNATION,94
AZ,95
Aaliyah,96
Aaron Cole,97
Aaron Copland,98
Aaron Goldberg,99
Aaron Goodvin,100
Aaron Jay Kernis,101
Aaron Lewis,102
Aaron Pritchett,103
Aaron Shust,104
Aaron Taylor,105
Aaron Tippin,106
Aaron Watson,107
Aaron West & The Roaring Twenties,108
Aazar,109
Ab-Soul,110
Abbey Lincoln,111
Abby Anderson,112
Abel Carlevaro,113
Abhi The Nomad,114
Abner Jay,115
Abstract,116
Abstract Orchestra,117
Academy of Ancient Music,118
Academy of St. Martin in the Fields,119
Accept,120
Acceptance,121
Ace Hood,122
Acid Pauli,123
Acoustic Alchemy,124
Action Bronson,125
Adairs Run,126
Adam Baldych,127
Adam Beyer,128
Adam Calhoun,129
Adam Carroll,130
Adam Craig,131
Adam Doleac,132
Adam Hambrick,133
Adam Jensen,134
Adam Levine,135
Adam Rafferty,136
Adam Sanders,137
Adelitas Way,138
Adema,139
Adrian Marcel,140
Adventure Club,141
Aer,142
Aeris Roves,143
Aerosmith,144
Aesop Rock,145
Afro B,146
Afroman,147
Afterglow,148
Afterlife,149
Aftertheparty,150
Afu-Ra,151
Agustín Barrios Mangoré,152
Aha Gazelle,153
Ahmad Jamal,154
Ahmad Jamal Trio,155
Ai Otsuka,156
Aim,157
Aimee Mann,158
Aimer,159
Aimi,160
Air,161
Air Supply,162
Airbourne,163
Airways,164
Ajmw,165
Akihiko Matsumoto,166
Akiko Shikata,167
Akira Ifukube,168
Akira Kosemura,169
Akira Senju,170
Akon,171
Akshin Alizadeh,172
Akurei,173
Al Di Meola,174
Al Green,175
Al James,176
Al Jarreau,177
Al Kooper,178
Alabama,179
Alabama Shakes,180
Alain Goraguer,181
Alan Jackson,182
Alan Lomax,183
Alan Price,184
Alanis Morissette,185
Alannah Myles,186
Alban Berg,187
Albert Castiglia,188
Albert Collins,189
Albert Cummings,190
Albert Hammond,191
"Albert Hammond, Jr.",192
Albert King,193
Albert Lortzing,194
Alberto Nepomuceno,195
Albita,196
Aldo Nova,197
Aleherion,198
Alejandro Escovedo,199
Aleks Syntek,200
Aleksi Perälä,201
Aleman,202
Alessandro Scarlatti,203
Alex Bugnon,204
Alex Cameron,205
Alex Chilton,206
Alex Clare,207
Alex Isley,208
Alex Turner,209
Alex Wiley,210
Alexander Borodin,211
Alexander King,212
Alexander Lewis,213
Alexander Scriabin,214
Alexandre Tansman,215
Alexis Korner's Blues Incorporated,216
Alexis Weissenberg,217
Alexis y Fido,218
